100	100
0	4	21.4598	10.4905
0	16	75.6533	4.6519
0	51	15.4724	90.0844
1	24	84.6905	90.3292
1	34	45.1559	51.8872
1	54	14.7102	11.6156
1	75	87.3365	46.4025
2	25	17.0889	21.7514
2	26	63.1214	10.0945
2	38	30.9772	51.7761
3	0	32.5272	36.8219
3	14	2.3552	50.4351
3	17	75.6766	83.0253
3	27	91.1927	25.102
3	29	51.457	16.2637
3	38	79.2569	24.5521
3	60	26.7542	54.9102
3	79	29.204	93.8618
3	90	96.6299	65.5297
5	56	84.191	41.7858
5	62	17.417	98.9012
6	17	5.0366	4.7535
7	0	96.9389	73.7607
7	8	78.1401	11.6955
9	38	83.8552	60.7526
10	42	63.4717	16.3824
10	64	49.2097	17.4621
10	76	18.4528	24.8863
12	53	52.1227	9.6455
13	2	1.6235	3.5797
13	16	25.9092	80.8804
13	19	79.767	4.2986
14	0	87.4259	8.971
14	3	98.1605	84.0558
14	5	74.5008	82.3515
14	34	25.8416	43.553
14	62	32.888	30.8782
15	40	99.9417	81.4621
16	55	4.639	78.0818
18	25	44.7929	40.1294
19	2	38.8344	8.2646
19	31	8.1471	88.0441
19	65	77.3619	26.5999
21	13	64.5657	29.4846
21	50	36.2454	66.1892
24	8	84.6996	13.7898
25	10	47.0697	64.4666
25	31	18.0884	86.1308
26	58	73.4377	67.8841
27	3	70.1866	99.5737
27	17	1.8709	96.0282
27	38	94.7619	34.7589
28	54	78.5416	94.7036
30	63	67.8562	34.8158
31	3	24.4206	12.6491
31	14	74.9453	63.2551
33	8	72.5489	34.7276
34	10	2.9344	49.9109
34	27	12.9627	67.5001
35	12	79.3955	0.8433
36	3	85.3246	64.0951
38	14	14.6331	84.0295
38	84	80.197	84.3567
39	27	70.1603	53.6347
39	73	52.2409	40.3469
41	7	4.8436	54.1118
42	51	88.0103	99.6055
50	7	40.5059	66.5519
50	25	45.9443	8.3621
51	72	53.003	70.3649
53	62	72.6465	27.9483
53	65	33.62	96.8306
54	0	14.3111	88.1897
54	31	46.7415	27.2738
54	44	7.325	77.7723
57	8	28.1171	92.6496
58	3	93.5026	94.3854
58	50	28.3143	73.6996
58	74	78.7421	98.4746
59	77	78.9695	30.983
60	62	38.8215	83.8131
61	92	85.0948	26.8318
62	41	35.0538	25.6007
64	21	45.019	80.9981
65	2	85.5981	98.022
65	26	51.3631	9.8798
66	0	77.6055	36.6183
67	6	6.7104	43.5518
72	66	24.808	53.452
72	75	70.8256	83.7683
75	51	82.8595	50.5779
75	53	76.4179	76.3621
79	24	44.9633	4.7323
82	20	1.697	75.3406
82	56	54.8421	80.6665
87	52	6.3237	45.2989
88	9	16.1149	43.0537
94	0	23.7659	2.8039
97	8	68.6545	68.7849
98	20	35.4373	5.8878
