320000	320000
79999	80194
79999	80276
79999	82163
79999	82200
79999	83451
79999	84571
79999	87680
79999	87784
79999	89088
79999	91427
79999	102040
79999	120705
79999	123915
79999	125090
79999	133032
79999	135075
79999	136489
79999	140076
79999	153763
80000	82896
80000	89864
80000	90872
80000	91254
80000	95059
80000	99051
80000	102934
80000	157539
80001	80202
80001	82693
80001	84853
80001	90518
80001	91288
80001	105937
80001	106572
80001	107685
80001	114169
80001	120336
80001	121955
80001	127225
80001	128047
80001	151619
80002	81572
80002	81752
80002	82007
80002	84537
80002	85001
80002	90245
80002	91260
80002	93794
80002	100995
80002	101253
80002	123762
80002	125332
80002	128760
80003	101103
80003	127249
80003	130357
80004	79999
80004	80945
80004	81876
80004	82568
80004	83210
80004	85726
80004	92578
80004	92627
80004	95576
80004	106254
80004	112635
80004	117971
80004	132188
80005	81406
80005	84374
80005	90444
80005	93751
80005	140859
80006	124101
80006	151413
80007	82465
80007	86463
80007	120005
80007	145781
80008	80831
80008	85864
80008	91318
80008	91855
80008	120903
80008	140000
80009	80705
80009	81926
80009	86679
80009	95253
80009	102618
80009	110351
80009	120663
80009	122367
80010	81330
80010	82591
80010	102642
80010	130433
80010	141455
80010	142553
80011	84923
80012	110000
80012	115267
80013	84220
80013	85652
80013	121414
80014	96059
80014	100068
80014	112149
80014	116252
80014	123752
80015	80177
80015	100044
80015	100862
80015	111572
80015	151426
80016	118560
80016	125167
80018	100163
80018	154820
80019	84130
80019	86260
80019	92581
80019	92656
80019	95098
80019	100258
80019	102616
80019	103755
80019	105085
80019	120757
80019	130481
80019	140342
80019	147941
80020	80591
80020	90082
80020	92846
80020	97598
80020	120674
80020	136294
80020	154062
80021	88525
80021	90041
80021	100036
80021	102012
80021	106269
80021	123784
80021	151781
80022	80002
80022	90087
80022	97499
80022	104999
80022	121631
80022	125322
80022	143926
80024	90178
80024	91885
80024	102974
80024	138443
80025	122812
80026	81387
80026	89864
80026	125298
80026	134229
80027	80009
80027	80032
80027	80625
80027	85938
80027	146313
80029	80513
80030	90741
80030	141249
80031	90938
80031	154999
80032	80156
80032	95372
80032	127499
80033	110517
80033	112891
80033	137621
80034	93517
80036	84692
80036	90158
80038	80627
80038	80803
80038	82053
80038	85005
80038	95176
80038	97520
80038	99999
80038	100346
80038	105077
80038	119145
80038	120976
80038	135214
80038	147538
80039	100547
80039	108840
80040	86040
80040	86954
80040	87613
80040	91901
80040	95082
80040	98495
80040	100668
80040	106884
80040	120634
80040	121562
80040	126962
80041	80862
80041	87602
80041	92817
80041	95959
80041	101283
80041	122984
80041	132661
80042	120107
80042	123760
80043	90829
80043	92502
80043	97091
80043	101801
80043	102635
80043	125942
80044	80637
80044	87189
80044	87627
80044	100626
80044	100783
80044	156843
80045	90240
80046	85161
80046	95344
80046	122236
80046	131562
80047	87377
80047	115668
80048	87510
80048	102543
80048	105324
80048	105663
80048	115029
80049	80372
80049	82981
80049	85476
80049	145678
80051	83678
80051	95846
80052	80312
80052	104383
80055	101330
80055	120312
80055	123851
80057	95557
80058	80051
80058	120785
