100	100
0	3
0	7
0	25
0	41
0	50
1	25
1	42
1	45
2	1
2	27
2	85
3	9
3	10
3	25
3	58
7	0
7	1
7	62
7	79
7	84
10	27
13	0
13	2
13	44
13	56
14	10
14	27
14	39
14	54
14	84
17	1
18	51
19	51
20	10
20	30
22	25
23	0
24	31
25	3
25	38
25	64
27	13
27	58
28	13
28	39
28	41
30	81
31	5
31	93
31	98
36	50
38	3
38	96
39	28
39	32
39	36
39	58
39	59
40	46
41	55
44	1
50	2
50	75
50	81
51	2
51	3
51	61
52	66
53	17
53	25
53	65
53	68
53	87
58	61
58	76
59	3
62	4
62	7
63	80
65	26
68	28
68	49
68	75
70	14
70	51
71	19
72	3
75	14
75	25
75	41
75	92
79	3
81	3
81	50
82	62
84	59
85	38
91	16
92	0
94	7
