70	100
0	0	69.1938	86.6127
21	0	8.345	76.7518
65	36	28.8115	31.4761
39	1	79.2312	34.1371
18	4	72.935	31.6265
8	18	17.6898	55.4245
47	40	4.3396	70.5888
6	36	66.5081	73.5438
37	46	46.3241	27.415
0	18	51.2576	83.1022
9	21	60.2437	15.1278
50	65	85.6614	78.8282
53	35	96.9125	19.2295
37	9	50.3488	61.3077
15	28	86.2956	40.1508
47	9	54.9912	55.4894
2	44	26.7635	63.3362
21	31	83.8765	55.575
27	0	46.4476	63.1077
59	3	41.3473	71.0178
8	20	46.3694	10.6723
30	43	78.0775	2.3443
5	35	81.2611	44.5857
11	44	75.8881	79.2205
64	32	72.0007	27.1457
9	44	62.3227	83.8796
35	30	93.9087	99.6193
40	39	62.7079	42.4564
4	37	18.8488	13.0567
20	53	3.7642	5.1445
0	44	4.8427	58.7554
18	23	60.6339	31.6062
19	64	73.7268	44.5104
5	5	38.8164	20.1744
9	15	59.2534	80.1637
11	35	42.8275	57.258
35	60	42.4712	20.905
1	37	59.6023	75.3675
40	35	17.1259	87.1256
15	4	54.588	40.7618
37	27	65.9065	68.546
42	35	24.6415	59.8153
1	18	68.1653	87.3494
40	63	53.9069	87.0142
17	11	52.0413	57.6711
18	19	92.1587	56.884
20	14	68.0617	4.4278
19	9	88.4902	41.7886
13	35	0.5735	27.3066
1	48	61.963	11.4621
8	16	59.1055	56.4257
28	28	68.7201	53.2119
37	3	77.3308	79.9577
40	9	28.5794	94.4567
28	43	67.0833	83.1675
41	5	35.2186	32.9899
43	8	51.7135	11.4953
55	46	44.4404	71.514
39	3	50.4799	49.9825
2	12	58.5282	2.5212
56	61	7.6537	2.3221
43	2	11.0404	75.7154
0	39	58.3852	51.1658
2	5	17.504	58.9587
3	9	30.1076	31.1023
2	21	22.056	40.8483
67	46	87.528	42.4113
35	11	94.0602	16.494
64	58	22.369	74.2748
34	0	10.9508	41.0876
62	51	57.4423	97.8046
22	20	25.7127	60.791
1	39	60.9351	21.7883
48	18	83.9403	11.415
4	1	71.7708	42.4685
36	0	65.5714	31.0597
7	37	44.7907	76.6118
11	58	58.4104	3.1759
55	11	79.4128	27.5496
14	5	13.7698	61.1556
1	28	10.2871	35.8258
0	21	2.0039	49.4504
38	11	78.2371	47.6993
20	5	65.9444	52.2414
54	36	21.9741	28.5304
36	27	44.9642	31.0517
5	1	77.9702	70.6769
35	1	43.4779	38.9053
40	56	44.1004	27.4182
37	46	50.3203	67.5064
59	0	69.8868	15.8917
2	0	98.5662	66.3127
9	25	44.1387	8.6118
38	7	21.1238	75.1867
0	2	87.7966	86.5288
2	3	36.3423	98.0838
42	65	73.9898	89.9814
7	44	47.5342	3.8621
42	7	37.6807	13.4786
2	27	56.1035	59.6549
